剧名称,group_title,发弹幕时刻相对于视频起始时间偏移量,累计点赞数,弹幕内容
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,192615,0,哈哈哈哈哈
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,3116,0,根本看不够啊，四什么时候出？不能让我重刷30遍吧
天下第一纨绔,第3集,47111,1,范闲
北往,第4集,14392,0,估计最后一天坐飞机了
幸得相遇离婚时,第4集,48369,0,江辞云经典台词特好[赞]
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,137565,0,[捂脸][捂脸][捂脸][捂脸][捂脸]太搞笑了
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,83966,0,哈哈哈哈
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,83798,0,[捂脸][捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,128666,0,方圆百里[笑哭]
云渺1：我修仙多年强亿点怎么了,第1集,76176,0,看过另外一个女主演的！比这个好看
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,198487,0,这个大白腿好刺我眼。
那年冬至,第2集,181111,0,嗷～～～女主暗恋他！
北往,第2集,2002,0,勐腊县到佳木斯啊！[捂脸]
北往,第3集,52736,0,像田馥甄
北往,第4集,26600,0,呦，都是老熟人[笑哭]
天下第一纨绔,第1集,72279,0,有辱如烟大帝之名
天下第一纨绔,第3集,102121,0,这是小妈生的。这个不是后妈
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,141208,0,[没看够][没看够][没看够][没看够]
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,95675,0,这三少出场怎么有点渣男的味道？
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,127152,0,第二部的结局好看，升华了
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,93936,0,的确帅
北往,第2集,61182,0,交警叔叔他们两个无证驾驶[笑哭]
北往,第2集,29879,0,为什么不做绿皮啊[捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部,第5集,107483,2,倒反天罡啊！老三
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,197634,0,怎麼那麼可愛[捂脸][捂脸][捂脸]
家里家外,第2集,112457,0,上系统
十八岁太奶奶驾到，重整家族荣耀第三部,第4集,29098,0,年纪看着不小呀[偷笑]
家里家外,第2集,73468,0,川渝的女娃儿就是这么直爽
北往,第5集,176916,0,李世鑫：一想到一会儿要干啥就憋不住笑
那年冬至,第1集,155151,0,哈哈来捏
荒年全村啃树皮，我有系统满仓肉,第1集,53662,0,[捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,189730,0,哈哈哈
天下第一纨绔,第1集,61945,0,还不睡
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,166029,0,哈哈哈[偷笑]
家里家外,第5集,70626,0,过日子
